Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	0.000000	5511	4.97289499903440075472	0.00179393343285966457
	1.410816	5511	4.97879002838654947591	0.00369701075926932940
	2.821632	5512	4.98468508808152109546	0.00185880463054509146
	4.232704	5512	4.99058017814437644786	0.00012992288325904438
	5.643776	5512	4.99647529860016264419	-0.00148954431298583380
	7.054848	5512	5.00237044947391304960	-0.00299950683808208367
	8.465920	5511	5.00826563079064734745	-0.00054935700359753672
	9.876736	5511	5.01416084257537147690	0.00201047759428115223
	11.287552	5512	5.02005608485307779163	0.00082956931046164112
	12.698624	5512	5.02595135764874505636	-0.00024147431394197627
	14.109696	5512	5.03184666098733841995	-0.00120256340438777365
	15.520768	5512	5.03774199489380946140	-0.00205360813518919456
	16.931840	5512	5.04363735939309627831	-0.00279451872920476200
	18.342912	5512	5.04953275451012346432	-0.00342520545788839575
	19.753984	5511	5.05542818026980215508	-0.00009506102358659189
	21.164800	5511	5.06132363669703005601	0.00334548658786747099
	22.575616	5512	5.06721912381669147528	0.00304600934242259777
	23.986688	5512	5.07311464165365735325	0.00285711439303072082
	25.397760	5512	5.07901019023278527814	0.00277889122700527180
	26.808832	5512	5.08490576957891956753	0.00281142928389172676
	28.219904	5512	5.09080137971689122151	0.00295481795529149530
	29.630976	5512	5.09669702067151800511	0.00320914658516102946
	31.042048	5512	5.10259269246760446478	0.00357450446986214101
	32.453120	5513	5.10848839512994193097	0.00020046324061851929
	33.864448	5513	5.11438412868330865083	-0.00306237028331151279
	35.275776	5512	5.12027989315246965119	-0.00236338933026427256
	36.686848	5512	5.12617568856217692159	-0.00155302241064548732
	38.097920	5512	5.13207151493716933009	-0.00063118046452907134
	39.508992	5512	5.13796737230217275254	0.00040222552124106666
	40.920064	5512	5.14386326068190000149	0.00154728451278266418
	42.331136	5512	5.14975918010105094234	0.00280408542961398420
	43.742208	5513	5.15565513058431247519	0.00032219952701249371
	45.153536	5513	5.16155111215635856864	-0.00204776675117298814
	46.564864	5512	5.16744712484185031356	-0.00045520700744432527
	47.975936	5512	5.17334316866543589102	0.00124944987408286016
	49.387008	5512	5.17923924365175069283	0.00306629258081280803
	50.798080	5513	5.18513534982541724003	0.00114489213626397919
	52.209408	5513	5.19103148721104535896	-0.00066414524662959971
	53.620736	5513	5.19692765583323201817	-0.00236073101877774991
	55.032064	5512	5.20282385571656155136	-0.00009425905901134873
	56.443136	5512	5.20872008688560553767	0.00228484147278405012
	57.854208	5513	5.21461634936492294482	0.00092614137132823993
	59.265536	5513	5.22051264317906002499	-0.00031975337930212386
